Date (Approx. Close),Exchange Rate (1 USD = X EUR)
2025-01-01,0.966010
2025-01-14,0.970230
2025-01-27,0.957390
2025-02-09,0.969780
2025-02-22,0.955500
2025-03-07,0.922700
2025-03-20,0.921090
2025-04-02,0.916700
2025-04-15,0.885530
2025-04-24,0.879360
2025-05-07,0.884470
2025-05-20,0.885900
2025-06-02,0.873100
2025-06-16,0.865700
2025-06-29,0.852700
2025-07-12,0.855300
2025-07-25,0.851200
2025-08-07,0.856410
2025-08-20,0.858240
2025-09-02,0.859400
2025-09-15,0.850070
2025-09-28,0.854100
2025-10-11,0.860600
2025-10-24,0.860000
2025-11-06,0.865860
2025-11-17 0.863851
2025-11-18 (Current),0.863849
